order_id,source_system_record_id,customer_id,order_timestamp,sales_channel,payment_method,currency,nearest_warehouse,order_status,order_price,delivery_charges,coupon_code,coupon_discount,tax_amount,order_total,season,expedited_delivery,customer_lat,customer_long,device_type,referral_source,customer_note_clean,promo_code
HORD000001,SRC-030-H-000001,CUS00225,2018-09-07 10:05:00,Store,PayPal,AUD,Thompson,Completed,6916.92,14.29,NaN,0.0,628.81,6931.21,Spring,False,-37.882177,144.888263,Tablet,Social,no special instruction,NaN
HORD000002,SRC-030-H-000002,CUS00099,2018-02-23 21:51:00,Web,PayPal,AUD,Bakers,Completed,1867.88,11.0,NaN,0.0,169.81,1878.88,Summer,False,-37.819942,145.042315,Mobile,Social,gift purchase for a family member,NaN
HORD000003,SRC-030-H-000003,CUS00238,2018-08-05 13:53:00,Web,Card,AUD,Nickolson,Completed,7032.93,28.75,NaN,0.0,639.36,7061.68,Winter,True,-37.879295,144.97554,Tablet,Organic,call before delivery,NaN
HORD000004,SRC-030-H-000004,CUS00174,2018-01-22 14:00:00,Store,Gift Card,AUD,Bakers,Completed,854.55,11.87,NaN,0.0,77.69,866.42,Summer,False,-37.853862,145.024729,Tablet,Social,please leave at reception,NaN
HORD000005,SRC-030-H-000005,CUS00421,2018-02-26 20:21:00,Mobile,Gift Card,AUD,Thompson,Completed,1129.94,11.38,B2SAVE-14,20.0,102.72,915.33,Summer,False,-37.852244,144.924316,Mobile,Store,gift purchase for a family member,B2SAVE-14
HORD000006,SRC-030-H-000006,CUS00167,2018-06-23 10:26:00,Store,Bank Transfer,AUD,Bakers,Completed,1767.18,29.98,NaN,10.0,160.65,1620.44,Winter,True,-37.750746,145.050929,Tablet,Organic,call before delivery,NaN
HORD000007,SRC-030-H-000007,CUS00191,2018-01-09 10:11:00,Web,Gift Card,AUD,Nickolson,Completed,1428.96,10.06,B2SAVE-16,15.0,129.91,1224.68,Summer,False,-37.83987,144.949557,Mobile,Referral,please leave at reception,B2SAVE-16
HORD000008,SRC-030-H-000008,CUS00312,2018-08-05 13:29:00,Store,Card,AUD,Thompson,Completed,2526.5,13.63,NaN,0.0,229.68,2540.13,Winter,False,-37.844896,144.920649,Desktop,Store,please use minimal packaging,NaN
HORD000009,SRC-030-H-000009,CUS00318,2018-12-22 14:34:00,Store,PayPal,AUD,Thompson,Completed,1468.94,22.96,B2SAVE-18,25.0,133.54,1124.66,Summer,True,-37.870186,144.91244,Tablet,Paid Search,call before delivery,B2SAVE-18
HORD000010,SRC-030-H-000010,CUS00190,2018-02-23 09:44:00,Mobile,Gift Card,AUD,Nickolson,Completed,7753.75,12.27,NaN,0.0,704.89,7766.02,Summer,False,-37.872563,144.957407,Mobile,Social,gift purchase for a family member,NaN
HORD000011,SRC-030-H-000011,CUS00355,2018-10-18 12:50:00,Mobile,PayPal,AUD,Thompson,Completed,2287.47,10.3,NaN,0.0,207.95,2297.77,Spring,False,-37.781197,144.929135,Mobile,Organic,call before delivery,NaN
