customer_id,signup_date,loyalty_tier,customer_segment,age_band,preferred_channel,home_suburb,prior_12m_orders,lifetime_value_before_period,marketing_consent,home_postcode,home_state,home_country,preferred_language,acquisition_source,account_status,preferred_device,email_domain,household_size_band,contact_frequency_preference
CUS00001,2016-03-17,Silver,Small Business,25-34,Store,Hawthorn,5,1876.75,False,3122,VIC,Australia,nl,Paid Search,Active,Mobile,example.net,2,Quarterly
CUS00002,2017-12-10,Bronze,Mainstream,45-54,Store,Hawthorn,14,5191.82,True,3122,VIC,Australia,de,Organic,Active,Mobile,inbox.example,3-4,Weekly
CUS00003,2014-09-05,Gold,Mainstream,35-44,Mobile,St Kilda,2,2135.34,True,3182,VIC,Australia,pl,Store,Active,Desktop,mail.test,5+,Monthly
CUS00004,2015-12-23,Silver,Value,18-24,Mobile,St Kilda,13,3751.51,True,3182,VIC,Australia,fr,Paid Search,Active,Tablet,example.net,3-4,Weekly
CUS00005,2014-09-02,Gold,Small Business,35-44,Web,Carlton,12,9794.51,True,3053,VIC,Australia,ja,Social,Active,Desktop,example.net,1,Quarterly
CUS00006,2014-03-08,Gold,Mainstream,55+,Mobile,Carlton,8,7941.3,True,3053,VIC,Australia,es,Store,Active,Mobile,inbox.example,5+,Monthly
CUS00007,2017-07-06,Bronze,Value,25-34,Mobile,Docklands,1,1742.23,True,3008,VIC,Australia,en,Referral,Active,Tablet,inbox.example,1,Essential only
CUS00008,2017-02-21,Bronze,Mainstream,35-44,Store,Hawthorn,15,4674.94,False,3122,VIC,Australia,it,Organic,Active,Tablet,mail.test,2,Essential only
CUS00009,2015-09-17,Silver,Value,25-34,Store,Northcote,4,1786.6,False,3070,VIC,Australia,ar,Paid Search,Active,Tablet,mail.test,5+,Quarterly
CUS00010,2014-06-21,Gold,Value,45-54,Mobile,Southbank,4,3580.95,True,3006,VIC,Australia,pt,Store,Active,Mobile,mail.test,2,Monthly
CUS00011,2014-11-14,Silver,Small Business,55+,Web,Brunswick,5,1164.79,True,3056,VIC,Australia,ja,Organic,Dormant,Desktop,mail.test,3-4,Quarterly
CUS00012,2015-01-10,Silver,Mainstream,25-34,Store,Docklands,5,4521.46,True,3008,VIC,Australia,fr,Store,Dormant,Desktop,example.net,2,Essential only
CUS00013,2016-11-05,Silver,Small Business,18-24,Mobile,Docklands,7,2997.44,False,3008,VIC,Australia,de,Referral,Active,Mobile,example.net,3-4,Weekly
CUS00014,2016-10-14,Gold,Mainstream,45-54,Mobile,Northcote,11,9948.86,True,3070,VIC,Australia,hi,Social,Active,Mobile,mail.test,1,Essential only
CUS00015,2015-10-05,Bronze,Premium,18-24,Store,Melbourne,10,4551.35,True,3000,VIC,Australia,en,Store,Active,Tablet,inbox.example,5+,Quarterly
CUS00016,2014-12-25,Silver,Small Business,45-54,Store,Docklands,12,4010.79,True,3008,VIC,Australia,nl,Organic,Active,Mobile,inbox.example,1,Quarterly
