mapping_id,output_table,target_field,source_format,json_source_path,xml_source_path,transformation_or_derivation,overlap_or_conflict_rule,notebook_evidence
MAP-orders-01,orders,order_id,both,$.orders[].header.orderID,/OperationsExport/Orders/Order/Header/Order_ID,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — orders; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-orders-02,orders,source_system_record_id,both,$.orders[].header.sourceSystemRecordID,/OperationsExport/Orders/Order/Header/Source_System_Record_ID,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — orders; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-orders-03,orders,customer_id,both,$.orders[].header.customerID,/OperationsExport/Orders/Order/Header/Customer_ID,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — orders; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-orders-04,orders,order_timestamp,both,$.orders[].header.orderTimestamp,/OperationsExport/Orders/Order/Header/Order_Timestamp,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — orders; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-orders-05,orders,sales_channel,both,$.orders[].header.salesChannel,/OperationsExport/Orders/Order/Header/Sales_Channel,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — orders; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-orders-06,orders,payment_method,both,$.orders[].header.paymentMethod,/OperationsExport/Orders/Order/Header/Payment_Method,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — orders; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-orders-07,orders,currency,both,$.orders[].header.currency,/OperationsExport/Orders/Order/Header/Currency,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — orders; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-orders-08,orders,nearest_warehouse,both,$.orders[].header.nearestWarehouse,/OperationsExport/Orders/Order/Header/Nearest_Warehouse,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — orders; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-orders-09,orders,order_status,both,$.orders[].header.orderStatus,/OperationsExport/Orders/Order/Header/Order_Status,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — orders; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-orders-10,orders,order_price,derived,$.orders[].shoppingCart[].quantity | $.orders[].shoppingCart[].unitPrice,/OperationsExport/Orders/Order/Shopping_Cart/Item/Quantity | /OperationsExport/Orders/Order/Shopping_Cart/Item/Unit_Price,"sum(round(quantity * unit_price, 2)) by order_id; round to 2 decimals",Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — orders; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
MAP-orders-11,orders,delivery_charges,both,$.orders[].header.deliveryCharges,/OperationsExport/Orders/Order/Header/Delivery_Charges,direct copy after trim and target type conversion; date/time/boolean/currency normalised where applicable,Compare normalised non-missing values by table primary key; retain one canonical row only when equal; register any conflict (no silent source precedence).,Section 4 — orders; Section 5 reconciliation; VAL-SCHEMA/PK/FLOW
