product_id,product_name,category,brand,unit_price,unit_cost,launch_year,warranty_months,weight_kg,product_sku,subcategory,model_family,colour,supplier_id,supplier_country,launch_date,tax_category,package_type,recyclable_packaging,active_flag,product_description_clean
PRD0001,Candle Bloom 100,Laptop,Candle,2393.92,1475.97,2014,24,1.196,SKU-CAN00001,Ultrabook,Arc,Silver,SUP001,Vietnam,2014-01-25,GST_STANDARD,Recycled box,False,True,"ultrabook designed for portable document work and video meetings, in the arc family and supplied by candle with a 24-month warranty."
PRD0002,Vela Halo 101,Smartphone,Vela,1391.38,905.35,2012,24,0.261,SKU-VEL00002,5G Smartphone,Atlas,Green,SUP002,Malaysia,2012-08-14,GST_STANDARD,Protective case,True,True,"5g smartphone designed for daily communication and navigation, in the atlas family and supplied by vela with a 24-month warranty."
PRD0003,Candle Quest 102,Tablet,Candle,316.95,160.31,2017,24,0.61,SKU-CAN00003,Productivity Tablet,Bloom,Graphite,SUP003,Korea,2017-10-07,GST_STANDARD,Recycled box,True,True,"productivity tablet designed for reading, annotation and handwritten notes, in the bloom family and supplied by candle with a 24-month warranty."
PRD0004,Vela Wave 103,Home Entertainment,Vela,468.81,280.81,2017,24,6.52,SKU-VEL00004,Smart Display,Core,Black,SUP004,Japan,2017-03-19,GST_STANDARD,Protective case,True,True,"smart display designed for shared film and television viewing, in the core family and supplied by vela with a 24-month warranty."
PRD0005,Candle Edge 104,Audio,Candle,503.71,301.0,2017,12,0.517,SKU-CAN00005,Wireless Audio,Edge,Gold,SUP005,Korea,2017-01-03,GST_STANDARD,Recycled box,True,True,"wireless audio designed for commuting and spoken-content listening, in the edge family and supplied by candle with a 12-month warranty."
PRD0006,Vela Nova 105,Smart Home,Vela,319.31,225.99,2013,12,0.263,SKU-VEL00006,Home Automation,Echo,Gold,SUP006,China,2013-02-10,GST_STANDARD,Box,True,True,"home automation designed for app-controlled room lighting, in the echo family and supplied by vela with a 12-month warranty."
PRD0007,Candle Shift 106,Gaming,Candle,1073.56,672.5,2012,24,1.324,SKU-CAN00007,Gaming Hardware,Flux,Blue,SUP007,Australia,2012-03-17,GST_STANDARD,Box,True,True,"gaming hardware designed for long desktop gaming sessions, in the flux family and supplied by candle with a 24-month warranty."
PRD0008,Vela Atlas 107,Wearable,Vela,146.16,99.2,2016,12,0.088,SKU-VEL00008,Health Wearable,Halo,Red,SUP008,China,2016-11-20,GST_STANDARD,Box,True,True,"health wearable designed for daily activity and sleep tracking, in the halo family and supplied by vela with a 12-month warranty."
PRD0009,Candle Flux 108,Networking,Candle,1213.1,714.64,2017,24,0.551,SKU-CAN00009,Connected Network,Lumen,Red,SUP009,Japan,2017-09-05,GST_STANDARD,Box,True,True,"connected network designed for home-office wireless coverage, in the lumen family and supplied by candle with a 24-month warranty."
PRD0010,Vela Pulse 109,Accessory,Vela,386.41,274.65,2016,12,0.171,SKU-VEL00010,Mobile Accessory,Nova,Black,SUP010,Malaysia,2016-03-13,GST_STANDARD,Box,True,True,"mobile accessory designed for adjustable desk mounting and device positioning, in the nova family and supplied by vela with a 12-month warranty."
PRD0011,Candle Vista 110,Laptop,Candle,1160.31,566.28,2014,24,1.537,SKU-CAN00011,Ultrabook,Orbit,White,SUP011,Australia,2014-09-22,GST_STANDARD,Protective case,True,True,"ultrabook designed for study, research and note taking, in the orbit family and supplied by candle with a 24-month warranty."
PRD0012,Vela Core 111,Smartphone,Vela,711.13,418.01,2017,24,0.219,SKU-VEL00012,5G Smartphone,Pulse,Blue,SUP012,Malaysia,2017-04-12,GST_STANDARD,Recycled box,True,True,"5g smartphone designed for mobile photography and messaging, in the pulse family and supplied by vela with a 24-month warranty."
PRD0013,Candle Lumen 112,Tablet,Candle,377.71,277.75,2016,24,0.46,SKU-CAN00013,Productivity Tablet,Quest,Black,SUP013,Vietnam,2016-04-04,GST_STANDARD,Protective case,False,True,"productivity tablet designed for portable media and video calls, in the quest family and supplied by candle with a 24-month warranty."
