mapping_id,output_table,target_field,source_format,json_source_path,xml_source_path,transformation_or_derivation,overlap_or_conflict_rule,notebook_evidence
MAP-orders-01,orders,order_id,both,$.orders[].header.orderID,/OperationsExport/Orders/Order/Header/Order_ID,trim surrounding whitespace; preserve identifier case and leading zeros; do not invent or lowercase the key,normalise before comparing by table primary key; fill a missing value from the matching non-missing value; record differing non-missing values as conflicts; retain one canonical row,Section 4.8 orders; Section 5 reconciliation; Section 6 executable VAL checks
MAP-orders-02,orders,source_system_record_id,both,$.orders[].header.sourceSystemRecordID,/OperationsExport/Orders/Order/Header/Source_System_Record_ID,trim surrounding whitespace; preserve identifier case and leading zeros; do not invent or lowercase the key,normalise before comparing by table primary key; fill a missing value from the matching non-missing value; record differing non-missing values as conflicts; retain one canonical row,Section 4.8 orders; Section 5 reconciliation; Section 6 executable VAL checks
MAP-orders-03,orders,customer_id,both,$.orders[].header.customerID,/OperationsExport/Orders/Order/Header/Customer_ID,trim surrounding whitespace; preserve identifier case and leading zeros; do not invent or lowercase the key,normalise before comparing by table primary key; fill a missing value from the matching non-missing value; record differing non-missing values as conflicts; retain one canonical row,Section 4.8 orders; Section 5 reconciliation; Section 6 executable VAL checks
MAP-orders-04,orders,order_timestamp,both,$.orders[].header.orderTimestamp,/OperationsExport/Orders/Order/Header/Order_Timestamp,parse ISO JSON or day-first XML timestamp and format YYYY-MM-DD HH:MM:SS,normalise before comparing by table primary key; fill a missing value from the matching non-missing value; record differing non-missing values as conflicts; retain one canonical row,Section 4.8 orders; Section 5 reconciliation; Section 6 executable VAL checks
MAP-orders-05,orders,sales_channel,both,$.orders[].header.salesChannel,/OperationsExport/Orders/Order/Header/Sales_Channel,trim surrounding whitespace and preserve the supplied sales channel spelling and category case,normalise before comparing by table primary key; fill a missing value from the matching non-missing value; record differing non-missing values as conflicts; retain one canonical row,Section 4.8 orders; Section 5 reconciliation; Section 6 executable VAL checks
MAP-orders-06,orders,payment_method,both,$.orders[].header.paymentMethod,/OperationsExport/Orders/Order/Header/Payment_Method,trim surrounding whitespace and preserve the supplied payment method spelling and category case,normalise before comparing by table primary key; fill a missing value from the matching non-missing value; record differing non-missing values as conflicts; retain one canonical row,Section 4.8 orders; Section 5 reconciliation; Section 6 executable VAL checks
MAP-orders-07,orders,currency,both,$.orders[].header.currency,/OperationsExport/Orders/Order/Header/Currency,trim surrounding whitespace and preserve the supplied currency spelling and category case,normalise before comparing by table primary key; fill a missing value from the matching non-missing value; record differing non-missing values as conflicts; retain one canonical row,Section 4.8 orders; Section 5 reconciliation; Section 6 executable VAL checks
MAP-orders-08,orders,nearest_warehouse,both,$.orders[].header.nearestWarehouse,/OperationsExport/Orders/Order/Header/Nearest_Warehouse,trim surrounding whitespace and preserve the supplied nearest warehouse spelling and category case,normalise before comparing by table primary key; fill a missing value from the matching non-missing value; record differing non-missing values as conflicts; retain one canonical row,Section 4.8 orders; Section 5 reconciliation; Section 6 executable VAL checks
MAP-orders-09,orders,order_status,both,$.orders[].header.orderStatus,/OperationsExport/Orders/Order/Header/Order_Status,trim surrounding whitespace and preserve the supplied order status spelling and category case,normalise before comparing by table primary key; fill a missing value from the matching non-missing value; record differing non-missing values as conflicts; retain one canonical row,Section 4.8 orders; Section 5 reconciliation; Section 6 executable VAL checks
MAP-orders-10,orders,order_price,derived,$.orders[].shoppingCart[].quantity | $.orders[].shoppingCart[].unitPrice,/OperationsExport/Orders/Order/Shopping_Cart/Item/Quantity | /OperationsExport/Orders/Order/Shopping_Cart/Item/Unit_Price,"sum the reconciled rounded line_revenue values by order_id, then round to 2 decimals",derive from reconciled canonical inputs; compare repeated keyed results and record any differing non-missing value before retaining one row,Section 4.8 orders; Section 5 reconciliation; Section 6 executable VAL checks
MAP-orders-11,orders,delivery_charges,both,$.orders[].header.deliveryCharges,/OperationsExport/Orders/Order/Header/Delivery_Charges,"remove AUD label and thousands separators, convert to numeric, and round monetary value to 2 decimals",normalise before comparing by table primary key; fill a missing value from the matching non-missing value; record differing non-missing values as conflicts; retain one canonical row,Section 4.8 orders; Section 5 reconciliation; Section 6 executable VAL checks
MAP-orders-12,orders,coupon_code,both,$.orders[].header.couponCode,/OperationsExport/Orders/Order/Header/Coupon_Code,"trim the structured coupon code, preserve its case, and use literal NaN when absent",normalise before comparing by table primary key; fill a missing value from the matching non-missing value; record differing non-missing values as conflicts; retain one canonical row,Section 4.8 orders; Section 5 reconciliation; Section 6 executable VAL checks
MAP-orders-13,orders,coupon_discount,both,$.orders[].header.couponDiscount,/OperationsExport/Orders/Order/Header/Coupon_Discount,retain JSON numeric percentage points or remove the XML % sign and convert to numeric percentage points,normalise before comparing by table primary key; fill a missing value from the matching non-missing value; record differing non-missing values as conflicts; retain one canonical row,Section 4.8 orders; Section 5 reconciliation; Section 6 executable VAL checks
