order_item_id,order_id,product_id,quantity,unit_price,line_revenue
HITM0000001,HORD000001,PRD0054,2,2814.02,5628.04
HITM0000002,HORD000001,PRD0466,1,520.19,520.19
HITM0000003,HORD000001,PRD0628,1,62.19,62.19
HITM0000004,HORD000001,PRD0620,2,220.61,441.22
HITM0000005,HORD000001,PRD0446,2,132.64,265.28
HITM0000006,HORD000002,PRD0314,1,1867.88,1867.88
HITM0000007,HORD000003,PRD0956,1,86.17,86.17
HITM0000008,HORD000003,PRD0594,3,2046.58,6139.74
HITM0000009,HORD000003,PRD0406,2,403.51,807.02
HITM0000010,HORD000004,PRD0599,1,854.55,854.55
HITM0000011,HORD000005,PRD0695,1,980.37,980.37
HITM0000012,HORD000005,PRD0280,1,149.57,149.57
HITM0000013,HORD000006,PRD0996,1,643.77,643.77
HITM0000014,HORD000006,PRD0676,1,499.99,499.99
HITM0000015,HORD000006,PRD0278,1,623.42,623.42
HITM0000016,HORD000007,PRD0520,1,298.12,298.12
HITM0000017,HORD000007,PRD0039,1,951.13,951.13
HITM0000018,HORD000007,PRD0197,1,179.71,179.71
HITM0000019,HORD000008,PRD0312,1,1449.43,1449.43
HITM0000020,HORD000008,PRD0049,1,917.1,917.1
HITM0000021,HORD000008,PRD0887,1,159.97,159.97
HITM0000022,HORD000009,PRD0415,1,78.5,78.5
HITM0000023,HORD000009,PRD0660,1,15.31,15.31
HITM0000024,HORD000009,PRD0014,1,953.24,953.24
HITM0000025,HORD000009,PRD0618,1,421.89,421.89
HITM0000026,HORD000010,PRD0534,2,3831.9,7663.8
HITM0000027,HORD000010,PRD0195,1,89.95,89.95
HITM0000028,HORD000011,PRD0706,3,173.61,520.83
HITM0000029,HORD000011,PRD0612,1,1688.14,1688.14
HITM0000030,HORD000011,PRD0415,1,78.5,78.5
HITM0000031,HORD000012,PRD0129,2,1446.26,2892.52
HITM0000032,HORD000012,PRD0050,1,56.24,56.24
HITM0000033,HORD000012,PRD0015,1,828.91,828.91
HITM0000034,HORD000013,PRD0127,1,415.41,415.41
HITM0000035,HORD000013,PRD0848,1,522.45,522.45
HITM0000036,HORD000013,PRD0660,1,15.31,15.31
HITM0000037,HORD000013,PRD0874,2,4174.45,8348.9
HITM0000038,HORD000014,PRD0946,1,643.19,643.19
HITM0000039,HORD000014,PRD0025,1,399.48,399.48
HITM0000040,HORD000014,PRD0794,1,464.13,464.13
HITM0000041,HORD000015,PRD0770,1,144.73,144.73
HITM0000042,HORD000015,PRD0777,1,666.99,666.99
HITM0000043,HORD000015,PRD0486,2,297.99,595.98
HITM0000044,HORD000016,PRD0484,1,1093.53,1093.53
HITM0000045,HORD000016,PRD0301,1,1027.91,1027.91
HITM0000046,HORD000017,PRD0076,1,729.89,729.89
HITM0000047,HORD000017,PRD0983,1,854.84,854.84
HITM0000048,HORD000017,PRD0840,1,48.65,48.65
HITM0000049,HORD000018,PRD0445,2,1026.22,2052.44
HITM0000050,HORD000018,PRD0928,1,302.59,302.59
HITM0000051,HORD000018,PRD0046,1,355.51,355.51
HITM0000052,HORD000018,PRD0646,1,155.12,155.12
HITM0000053,HORD000018,PRD0546,2,401.4,802.8
HITM0000054,HORD000019,PRD0962,1,1496.58,1496.58
HITM0000055,HORD000019,PRD0103,1,619.16,619.16
HITM0000056,HORD000019,PRD0705,2,200.18,400.36
HITM0000057,HORD000020,PRD0900,2,204.44,408.88
HITM0000058,HORD000020,PRD0926,1,315.02,315.02
HITM0000059,HORD000020,PRD0979,1,1164.08,1164.08
HITM0000060,HORD000020,PRD0008,1,146.16,146.16
HITM0000061,HORD000021,PRD0800,1,274.87,274.87
HITM0000062,HORD000021,PRD0360,1,362.06,362.06
HITM0000063,HORD000021,PRD0123,1,906.0,906.0
HITM0000064,HORD000021,PRD0837,2,471.38,942.76
HITM0000065,HORD000022,PRD0058,1,137.85,137.85
HITM0000066,HORD000022,PRD0788,3,319.54,958.62
HITM0000067,HORD000022,PRD0854,2,2184.3,4368.6
HITM0000068,HORD000023,PRD0140,1,394.57,394.57
HITM0000069,HORD000023,PRD0847,1,370.04,370.04
HITM0000070,HORD000023,PRD0320,1,190.98,190.98
HITM0000071,HORD000023,PRD0989,1,1013.01,1013.01
HITM0000072,HORD000023,PRD0440,2,57.41,114.82
HITM0000073,HORD000024,PRD0068,1,331.71,331.71
HITM0000074,HORD000024,PRD0102,1,1075.3,1075.3
HITM0000075,HORD000024,PRD0090,1,223.82,223.82
HITM0000076,HORD000024,PRD0250,1,79.79,79.79
HITM0000077,HORD000025,PRD0362,1,1217.27,1217.27
HITM0000078,HORD000025,PRD0785,1,91.04,91.04
HITM0000079,HORD000025,PRD0879,1,1214.72,1214.72
HITM0000080,HORD000026,PRD0819,3,282.56,847.68
HITM0000081,HORD000026,PRD0743,1,1557.24,1557.24
HITM0000082,HORD000027,PRD0438,1,185.01,185.01
HITM0000083,HORD000027,PRD0445,1,1026.22,1026.22
HITM0000084,HORD000027,PRD0486,2,297.99,595.98
HITM0000085,HORD000028,PRD0762,1,1038.24,1038.24
HITM0000086,HORD000028,PRD0739,1,947.5,947.5
HITM0000087,HORD000028,PRD0429,1,1195.52,1195.52
HITM0000088,HORD000029,PRD0046,2,355.51,711.02
HITM0000089,HORD000029,PRD0832,1,1257.86,1257.86
HITM0000090,HORD000030,PRD0842,1,1418.63,1418.63
HITM0000091,HORD000030,PRD0008,2,146.16,292.32
HITM0000092,HORD000031,PRD1000,1,120.72,120.72
HITM0000093,HORD000031,PRD0159,2,1223.4,2446.8
HITM0000094,HORD000031,PRD0842,2,1418.63,2837.26
HITM0000095,HORD000031,PRD0150,1,338.38,338.38
HITM0000096,HORD000032,PRD0196,1,483.11,483.11
HITM0000097,HORD000032,PRD0640,2,415.26,830.52
HITM0000098,HORD000032,PRD0247,1,694.04,694.04
HITM0000099,HORD000032,PRD0946,1,643.19,643.19
HITM0000100,HORD000033,PRD0160,1,140.78,140.78
HITM0000101,HORD000033,PRD0851,2,3078.03,6156.06
HITM0000102,HORD000033,PRD0411,1,2843.11,2843.11
HITM0000103,HORD000034,PRD0143,1,926.46,926.46
HITM0000104,HORD000035,PRD0624,1,588.21,588.21
HITM0000105,HORD000035,PRD0732,1,1280.4,1280.4
HITM0000106,HORD000035,PRD0933,1,1394.64,1394.64
HITM0000107,HORD000035,PRD0878,2,453.39,906.78
HITM0000108,HORD000035,PRD0781,1,2891.34,2891.34
HITM0000109,HORD000036,PRD0204,1,2130.68,2130.68
HITM0000110,HORD000036,PRD0439,1,1460.48,1460.48
HITM0000111,HORD000036,PRD0050,1,56.24,56.24
HITM0000112,HORD000037,PRD0748,1,147.02,147.02
HITM0000113,HORD000037,PRD0745,1,882.2,882.2
HITM0000114,HORD000037,PRD0690,1,30.42,30.42
HITM0000115,HORD000038,PRD0290,1,151.92,151.92
HITM0000116,HORD000038,PRD0392,1,647.54,647.54
HITM0000117,HORD000038,PRD0469,3,710.35,2131.05
HITM0000118,HORD000038,PRD0230,2,290.53,581.06
HITM0000119,HORD000039,PRD0821,2,1235.41,2470.82
HITM0000120,HORD000039,PRD0403,1,615.54,615.54
HITM0000121,HORD000040,PRD0665,1,758.8,758.8
HITM0000122,HORD000040,PRD0926,1,315.02,315.02
HITM0000123,HORD000040,PRD0011,1,1160.31,1160.31
HITM0000124,HORD000040,PRD0979,1,1164.08,1164.08
HITM0000125,HORD000041,PRD0850,1,312.03,312.03
HITM0000126,HORD000041,PRD0907,2,1941.5,3883.0
HITM0000127,HORD000041,PRD0610,2,159.67,319.34
HITM0000128,HORD000041,PRD0938,1,929.59,929.59
HITM0000129,HORD000042,PRD0260,2,386.46,772.92
HITM0000130,HORD000042,PRD0710,1,221.52,221.52
HITM0000131,HORD000042,PRD0836,1,826.24,826.24
HITM0000132,HORD000043,PRD0070,1,376.35,376.35
HITM0000133,HORD000043,PRD0250,1,79.79,79.79
HITM0000134,HORD000044,PRD0456,1,111.78,111.78
HITM0000135,HORD000044,PRD0496,1,223.21,223.21
HITM0000136,HORD000044,PRD0650,2,233.76,467.52
HITM0000137,HORD000044,PRD0859,1,530.9,530.9
HITM0000138,HORD000045,PRD0130,1,234.4,234.4
HITM0000139,HORD000045,PRD0904,2,1097.17,2194.34
HITM0000140,HORD000045,PRD0596,1,846.46,846.46
HITM0000141,HORD000046,PRD0164,1,1650.2,1650.2
HITM0000142,HORD000046,PRD0748,2,147.02,294.04
HITM0000143,HORD000046,PRD0709,2,928.13,1856.26
HITM0000144,HORD000047,PRD0166,3,401.82,1205.46
HITM0000145,HORD000048,PRD0039,1,951.13,951.13
HITM0000146,HORD000049,PRD0051,1,2153.52,2153.52
HITM0000147,HORD000049,PRD0351,1,1823.65,1823.65
HITM0000148,HORD000049,PRD0070,1,376.35,376.35
HITM0000149,HORD000050,PRD0315,1,197.15,197.15
HITM0000150,HORD000050,PRD0911,1,2044.96,2044.96
HITM0000151,HORD000050,PRD0660,2,15.31,30.62
HITM0000152,HORD000050,PRD0755,1,417.76,417.76
HITM0000153,HORD000051,PRD0929,1,897.78,897.78
HITM0000154,HORD000051,PRD0431,1,1519.4,1519.4
HITM0000155,HORD000051,PRD0738,1,778.08,778.08
HITM0000156,HORD000051,PRD0410,1,212.08,212.08
HITM0000157,HORD000052,PRD0653,1,608.0,608.0
HITM0000158,HORD000052,PRD0133,1,772.02,772.02
HITM0000159,HORD000052,PRD0931,1,2472.47,2472.47
HITM0000160,HORD000052,PRD0494,1,1961.68,1961.68
HITM0000161,HORD000053,PRD0201,2,2237.43,4474.86
HITM0000162,HORD000053,PRD0484,1,1093.53,1093.53
HITM0000163,HORD000054,PRD0170,1,202.15,202.15
HITM0000164,HORD000054,PRD0038,1,758.26,758.26
HITM0000165,HORD000054,PRD0816,1,213.13,213.13
HITM0000166,HORD000055,PRD0694,1,1984.32,1984.32
HITM0000167,HORD000055,PRD0431,1,1519.4,1519.4
HITM0000168,HORD000056,PRD0584,1,2264.13,2264.13
HITM0000169,HORD000056,PRD0565,1,294.27,294.27
HITM0000170,HORD000056,PRD0354,1,2902.62,2902.62
HITM0000171,HORD000056,PRD0028,1,831.06,831.06
HITM0000172,HORD000056,PRD0200,1,160.69,160.69
HITM0000173,HORD000057,PRD0197,1,179.71,179.71
HITM0000174,HORD000057,PRD0450,1,210.74,210.74
HITM0000175,HORD000057,PRD0402,1,335.07,335.07
HITM0000176,HORD000057,PRD0816,1,213.13,213.13
HITM0000177,HORD000057,PRD0099,1,245.95,245.95
HITM0000178,HORD000058,PRD0725,1,107.02,107.02
HITM0000179,HORD000058,PRD0533,1,367.95,367.95
HITM0000180,HORD000058,PRD0499,1,253.73,253.73
HITM0000181,HORD000058,PRD0578,1,718.33,718.33
HITM0000182,HORD000059,PRD0846,1,427.97,427.97
HITM0000183,HORD000059,PRD0384,1,2615.99,2615.99
HITM0000184,HORD000059,PRD0509,1,306.02,306.02
HITM0000185,HORD000059,PRD0228,1,121.94,121.94
HITM0000186,HORD000060,PRD0629,1,925.23,925.23
HITM0000187,HORD000060,PRD0895,1,1012.5,1012.5
HITM0000188,HORD000060,PRD0193,1,596.94,596.94
HITM0000189,HORD000061,PRD0051,1,2153.52,2153.52
HITM0000190,HORD000061,PRD0653,1,608.0,608.0
HITM0000191,HORD000061,PRD0236,2,131.33,262.66
HITM0000192,HORD000062,PRD0347,2,2438.33,4876.66
HITM0000193,HORD000062,PRD0958,1,997.87,997.87
HITM0000194,HORD000063,PRD0301,1,1027.91,1027.91
HITM0000195,HORD000063,PRD0735,2,557.24,1114.48
HITM0000196,HORD000063,PRD0242,3,390.52,1171.56
HITM0000197,HORD000064,PRD0166,1,401.82,401.82
HITM0000198,HORD000064,PRD0796,1,214.68,214.68
HITM0000199,HORD000064,PRD0533,2,367.95,735.9
HITM0000200,HORD000065,PRD0073,1,1270.32,1270.32
HITM0000201,HORD000065,PRD0119,1,871.39,871.39
HITM0000202,HORD000065,PRD0582,2,1854.66,3709.32
HITM0000203,HORD000066,PRD0405,1,146.11,146.11
HITM0000204,HORD000066,PRD0202,1,1282.0,1282.0
HITM0000205,HORD000067,PRD0147,1,1002.37,1002.37
HITM0000206,HORD000067,PRD0977,2,171.2,342.4
HITM0000207,HORD000068,PRD0580,1,180.48,180.48
HITM0000208,HORD000068,PRD0244,2,847.84,1695.68
HITM0000209,HORD000068,PRD0397,1,1333.88,1333.88
HITM0000210,HORD000068,PRD0218,1,637.83,637.83
HITM0000211,HORD000069,PRD0268,1,395.01,395.01
HITM0000212,HORD000069,PRD0831,1,2373.29,2373.29
HITM0000213,HORD000069,PRD0388,1,981.72,981.72
HITM0000214,HORD000069,PRD0381,1,2583.59,2583.59
HITM0000215,HORD000070,PRD0498,1,536.61,536.61
